id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
1;Marcos;Domínguez;alfredo.cázares@hotmail.com;Beltrán Beltrán S.A.;1980-07-04;63.09;HOMBRE
2;Roberto;Sotelo;ramiro.campos@prodigy.net.mx;Venegas y Venegas S.A. de C.V.;1980-07-05;48.64;HOMBRE
3;Eduardo;Rosales;josefina.ponce@hotmail.com;Hernández Hernández S.R.L;1980-07-06;54.37;HOMBRE
4;Ramiro;Guevara;josé alfredo.carranza@yahoo.com;Balderas Balderas S.R.L;1980-07-07;72.08;HOMBRE
5;Omar;Barrera;josé luis.quintero@yahoo.com;de los Santos de los Santos S.R.L;1980-07-08;19.94;HOMBRE
6;LucĂ­a;Arteaga;silvia.zavala@prodigy.net.mx;"Silva; Silva y Silva Asociados S.C.";1980-07-09;62.09;HOMBRE
7;Isidro;Sierra;leonardo.aguilera@hotmail.com;Grupo Financiero Medrano S.C.;1980-07-10;71.82;HOMBRE
8;BenjamĂ­n;Aguirre;alberto.santos@gmail.com;"Medina; Medina y Medina Asociados S.A.B.";1980-07-11;84.38;HOMBRE
9;Juan Carlos;Saucedo;samuel.rubio@prodigy.net.mx;"Vega; Vega y Vega Asociados S.C.";1980-07-12;80.05;HOMBRE
10;Fabiola;Luna;hugo.jaramillo@hotmail.com;Peña y Peña S.C.;1980-07-13;91.16;HOMBRE
11;Benito;Rodríguez;paula.ortiz@prodigy.net.mx;Garduño y Garduño S.C.;1980-07-14;53.34;HOMBRE
12;JosĂ© Antonio;May;olivia.caballero@yahoo.com;"Nájera; Nájera y Nájera Asociados S.A.B.";1980-07-15;57.53;HOMBRE
13;Gabriela;Romo;josé angel.ochoa@yahoo.com;Sociedad Núñez S.R.L;1980-07-16;24.42;HOMBRE
14;MarĂ­a;Esquivel;rodolfo.salazar@gmail.com;"Galván; Galván y Galván Asociados S.A. de C.V.";1980-07-17;32.4;HOMBRE
15;MoisĂ©s;Medrano;juan.villanueva@yahoo.com;Grupo Treviño S.A. de C.V.;1980-07-18;14.02;HOMBRE
16;Carlos Alberto;Ramírez;angélica.del ángel@gmail.com;"Toledo; Toledo y Toledo Asociados S.R.L";1980-07-19;11.78;HOMBRE
17;Carlos Alberto;Valencia;magdalena.de la torre@gmail.com;"Carrillo; Carrillo y Carrillo Asociados S.A. de C.V.";1980-07-20;76.23;HOMBRE
18;Antonio;Galindo;estela.cabrera@prodigy.net.mx;Leal Leal S.C.;1980-07-21;20.82;HOMBRE
19;Rogelio;Padilla;estela.carrasco@hotmail.com;Alcántara Alcántara S.R.L;1980-07-22;28.41;HOMBRE
20;Mario Alberto;Navarro;miguel.gómez@prodigy.net.mx;Guillén Guillén S.R.L;1980-07-23;26.49;HOMBRE
21;Israel;Cruz;beatriz.guerrero@hotmail.com;Colegio Duarte S.A. de C.V.;1980-07-24;39.05;HOMBRE
22;Mario Alberto;Juárez;benjamín.santos@gmail.com;Soto Soto S.R.L;1980-07-25;50.69;HOMBRE
23;Julio CĂ©sar;Nájera;javier.espinoza@hotmail.com;Armenta y Armenta S.R.L;1980-07-26;29.76;HOMBRE
24;Teresa;Quintana;juan antonio.carbajal@gmail.com;Luna y Luna S.A. de C.V.;1980-07-27;26.39;HOMBRE
25;AgustĂ­n;Marín;maría.caballero@prodigy.net.mx;Ordoñez y Ordoñez S.A.;1980-07-28;57.76;HOMBRE
26;Alberto;Blanco;juan carlos.coronado@yahoo.com;Grupo Financiero Gallegos S.A. de C.V.;1980-07-29;33.81;HOMBRE
27;Daniel;Tovar;gloria.castro@yahoo.com;Guevara y Guevara S.R.L;1980-07-30;91.15;HOMBRE
28;Edgar;Álvarez;rodolfo.monroy@yahoo.com;Fondo Herrera S.A.;1980-07-31;71.96;HOMBRE
29;Reyna;Arenas;ángel.báez@yahoo.com;de León de León S.R.L;1980-08-01;0.05;HOMBRE
30;Elena;Valadez;gabriel.duarte@gmail.com;Álvarez y Álvarez S.A. de C.V.;1980-08-02;0.79;HOMBRE
31;Agustina;del Ángel;teresa.salas@prodigy.net.mx;"Acevedo; Acevedo y Acevedo Asociados S.C.";1980-08-03;38.32;HOMBRE
32;Ăngel;Reyna;rosa maría.amador@prodigy.net.mx;Santillán y Santillán S.C.;1980-08-04;24.35;HOMBRE
33;Laura;Navarrete;guillermo.trejo@yahoo.com;Grupo Cordero S.A. de C.V.;1980-08-05;26.66;HOMBRE
34;Arturo;Rangel;lorenzo.guzmán@gmail.com;Quintero S.A.;1980-08-06;52.66;HOMBRE
35;Petra;Mendoza;carlos.peña@hotmail.com;Félix Félix S.R.L;1980-08-07;9.21;HOMBRE
36;Andrea;Maldonado;josé juan.varela@hotmail.com;"Castro; Castro y Castro Asociados S.C.";1980-08-08;64.49;HOMBRE
37;Maribel;Esparza;hugo.de la rosa@gmail.com;Sociedad Valdés S.C.;1980-08-09;4;HOMBRE
38;Jorge;Montes;sofía.mondragón@hotmail.com;Zapata y Zapata S.C.;1980-08-10;13.21;HOMBRE
39;Alejandra;Ordoñez;susana.nava@hotmail.com;Saldaña y Saldaña S.C.;1980-08-11;6.52;HOMBRE
40;Armando;Ríos;silvia.quintana@prodigy.net.mx;Jímenez y Jímenez S.A.B.;1980-08-12;47.21;HOMBRE
41;Mario Alberto;Leal;josé luis.ocampo@hotmail.com;"Padilla; Padilla y Padilla Asociados S.A.";1980-08-13;14.04;HOMBRE
42;NicolĂˇs;Rojas;maricela.olivares@gmail.com;Arredondo y Arredondo S.C.;1980-08-14;15.45;HOMBRE
43;Esperanza;Acevedo;francisco.córdova@hotmail.com;Molina y Molina S.R.L;1980-08-15;85.79;HOMBRE
44;Luis Alberto;Cisneros;guadalupe.molina@hotmail.com;Gálvez S.C.;1980-08-16;61.87;HOMBRE
45;Magdalena;Salas;laura.huerta@hotmail.com;Arroyo Arroyo S.A.B.;1980-08-17;33.33;HOMBRE
46;Lorenzo;Reyes;rocío.zaragoza@prodigy.net.mx;"Áviles; Áviles y Áviles Asociados S.C.";1980-08-18;79.53;HOMBRE
47;Miguel Ăngel;Escalante;josé alfredo.anaya@hotmail.com;Gallegos Gallegos S.A.B.;1980-08-19;84.11;HOMBRE
48;Elvira;Sánchez;martín.armenta@gmail.com;Santillán S.A.B.;1980-08-20;52.86;HOMBRE
49;Gerardo;Tapia;josé juan.álvarez@gmail.com;Sandoval y Sandoval S.C.;1980-08-21;85.63;HOMBRE
50;Ismael;Mercado;josé luis.morales@gmail.com;"Garza; Garza y Garza Asociados S.A.B.";1980-08-22;4.24;HOMBRE
51;Arturo;Ángeles;erika.solís@yahoo.com;"Rangel; Rangel y Rangel Asociados S.A. de C.V.";1980-08-23;21.95;HOMBRE
52;Lidia;Zavala;hugo.montiel@gmail.com;Palacios Palacios S.R.L;1980-08-24;25.64;HOMBRE
53;TomĂˇs;Téllez;felipe.meléndez@yahoo.com;Villarreal Villarreal S.R.L;1980-08-25;20.45;HOMBRE
54;Esther;Gálvez;gabriel.romo@hotmail.com;"Chávez; Chávez y Chávez Asociados S.A.";1980-08-26;99.09;HOMBRE
55;Martina;Granados;francisco.palacios@yahoo.com;Zamudio Zamudio S.A.;1980-08-27;4.47;HOMBRE
56;Mario Alberto;Gálvez;sofía.parra@prodigy.net.mx;Fondo Ruiz S.C.;1980-08-28;27.21;HOMBRE
